name,category,muscle_group,equipment,description ,video_url,difficulty_level,calories_burned,intensity,tags,normalized_name,source_type,created_by,is_public
Barbell Bench Press,Strength,Chest,Barbell,"A compound upper-body strength exercise targeting the chest, triceps, and shoulders.",https://www.youtube.com/watch?v=gRVjAtPip0Y,Intermediate,2.5,High,"chest,strength,barbell,compound",barbell_bench_press,default,,TRUE
Dumbbell Bench Press,Strength,Chest,Dumbbell,An upper-body exercise that targets the chest using dumbbells for a greater range of motion.,https://www.youtube.com/watch?v=VmB1G1K7v94,Intermediate,2.3,High,"chest,strength,dumbbell,compound",dumbbell_bench_press,default,,TRUE
Push-Up,Bodyweight,Chest,None,"A bodyweight exercise that strengthens the chest, triceps, and shoulders.",https://www.youtube.com/watch?v=IODxDxX7oi4,Beginner,0.5,Moderate,"chest,bodyweight,beginner",push_up,default,,TRUE
Incline Barbell Press,Strength,Chest,Barbell,Targets the upper chest and shoulders using a barbell on an incline bench.,https://www.youtube.com/watch?v=SrqOu55lrYU,Intermediate,2.6,High,"chest,upper,barbell,strength",incline_barbell_press,default,,TRUE
Incline Dumbbell Press,Strength,Chest,Dumbbell,A dumbbell variation of the incline press emphasizing upper chest development.,https://www.youtube.com/watch?v=8iPEnn-ltC8,Intermediate,2.4,High,"chest,upper,dumbbell,strength",incline_dumbbell_press,default,,TRUE
Decline Bench Press,Strength,Chest,Barbell,A barbell press variation that emphasizes the lower chest.,https://www.youtube.com/watch?v=Y1IGeJEXp1E,Intermediate,2.5,High,"chest,lower,barbell,strength",decline_bench_press,default,,TRUE
Chest Dips,Bodyweight,Chest,Dip Bars,A bodyweight exercise emphasizing the lower chest and triceps.,https://www.youtube.com/watch?v=2z8JmcrW-As,Intermediate,1,High,"chest,bodyweight,triceps",chest_dips,default,,TRUE
Cable Crossover,Isolation,Chest,Cable Machine,An isolation movement targeting the chest through a full range of motion.,https://www.youtube.com/watch?v=taI4XduLpTk,Intermediate,1.8,Moderate,"chest,isolation,cable",cable_crossover,default,,TRUE
Pec Deck Machine,Isolation,Chest,Machine,A machine-based chest fly exercise that isolates the pectoral muscles.,https://www.youtube.com/watch?v=WVtJwIg-Vf4,Beginner,1.6,Moderate,"chest,machine,isolation",pec_deck_machine,default,,TRUE
Dumbbell Pullover,Strength,Chest,Dumbbell,A classic chest and back exercise that uses a single dumbbell.,https://www.youtube.com/watch?v=6i2EG0YvRyY,Intermediate,2.2,Moderate,"chest,back,dumbbell",dumbbell_pullover,default,,TRUE
Leg Press Machine,Strength,"Quadriceps, Glutes, Hamstrings",Leg Press Machine,"A compound lower body exercise targeting the quads, glutes, and hamstrings by pushing weight on a sled platform.",https://www.youtube.com/watch?v=IZxyjW7MPJQ,Intermediate,0.5,Medium,"legs, compound, machine",leg_press_machine,default,,TRUE
Leg Extension Machine,Strength,Quadriceps,Leg Extension Machine,An isolation exercise focusing on the quadriceps by extending the knees against resistance.,https://www.youtube.com/watch?v=yRuj8US7G1Y,Beginner,0.35,Low,"quadriceps, isolation, machine",leg_extension_machine,default,,TRUE
Lying Leg Curl Machine,Strength,Hamstrings,Lying Leg Curl Machine,Targets the hamstrings by curling the legs upward while lying face down on the machine.,https://www.youtube.com/watch?v=1Tq3QdYUuHs,Beginner,0.35,Low,"hamstrings, isolation, machine",lying_leg_curl_machine,default,,TRUE
Seated Leg Curl Machine,Strength,Hamstrings,Seated Leg Curl Machine,Works the hamstrings by pulling a padded lever toward the body while seated.,https://www.youtube.com/watch?v=JobvSn5o4OE,Beginner,0.35,Low,"hamstrings, isolation, seated, machine",seated_leg_curl_machine,default,,TRUE
Hip Abduction Machine,Strength,"Gluteus Medius, Gluteus Minimus",Hip Abduction Machine,Targets the outer thighs and glutes by pushing the legs outward against resistance.,https://www.youtube.com/watch?v=5DlJzY5U93E,Beginner,0.3,Low,"glutes, thighs, isolation, machine",hip_abduction_machine,default,,TRUE
Hip Adduction Machine,Strength,Adductors,Hip Adduction Machine,Targets the inner thighs by bringing the legs together against resistance.,https://www.youtube.com/watch?v=nCJeYy4gNy4,Beginner,0.3,Low,"adductors, thighs, isolation, machine",hip_adduction_machine,default,,TRUE
